n,n_ties,n_cusps,n_checked,n_unresolved,E_half,schema_version,seconds,built
100,2401,34,0,0,92.50128164258855,2,0.04,2026-09-20T15:41:27
200,9801,71,0,0,189.20212995864412,2,0.08,2026-09-20T17:15:56
500,62001,181,3,0,482.64984490054866,2,0.5,2026-09-20T17:15:58
1000,249001,352,12,0,975.2623693125497,2,3.95,2026-09-20T17:16:03
2000,998001,708,77,0,1964.8130582027209,2,41.47,2026-09-20T17:16:46
3000,2247001,1061,247,0,2956.794421403354,2,203.78,2026-09-20T22:20:56
2000,998001,708,77,0,1964.8130582027209,2,4.86,2026-09-20T22:27:42
3000,2247001,1061,247,0,2956.794421403354,2,16.24,2026-09-20T22:28:20
4000,3996001,1411,637,0,3950.0341959395805,2,41.72,2026-09-20T22:29:03
5000,6245001,1770,1369,0,4944.078220908844,2,90.2,2026-09-20T22:34:21
6000,8994001,2129,2364,0,5938.693552675867,2,170.7,2026-09-20T22:43:52
7000,12243001,2475,3779,0,6933.7418042103145,2,300.65,2026-09-20T22:51:28
8000,15992001,2825,5671,0,7929.132805303267,2,468.76,2026-09-20T22:59:18
1000,249002,353,12,0,975.2623693125497,3,0.84,2026-09-21T07:56:33
100,2402,35,0,0,92.50128164258855,3,0.32,2026-09-21T07:57:38
200,9802,72,0,0,189.20212995864412,3,0.01,2026-09-21T07:57:38
500,62002,182,3,0,482.64984490054866,3,0.12,2026-09-21T07:57:38
2000,998002,709,77,0,1964.8130582027209,3,4.62,2026-09-21T07:57:43
3000,2247002,1062,247,0,2956.794421403354,3,16.12,2026-09-21T07:57:59
4000,3996002,1412,637,0,3950.0341959395805,3,41.49,2026-09-21T07:58:40
5000,6245002,1771,1369,0,4944.078220908844,3,90.12,2026-09-21T08:00:10
6000,8994002,2130,2364,0,5938.693552675867,3,171.19,2026-09-21T08:03:02
7000,12243002,2476,3779,0,6933.7418042103145,3,298.82,2026-09-21T08:08:01
8000,15992002,2826,5671,0,7929.132805303267,3,458.79,2026-09-21T08:15:39
300,22202,106,0,0,286.66873191708015,3,0.26,2026-09-21T11:36:26
400,39602,139,0,0,384.5323445635012,3,0.05,2026-09-21T11:36:29
600,89402,213,0,0,580.9477612333446,3,0.14,2026-09-21T11:36:33
700,121802,243,1,0,679.3824235068822,3,0.27,2026-09-21T11:36:36
800,159202,288,0,0,777.9253675916826,3,0.28,2026-09-21T11:36:40
900,201602,316,8,0,876.5568169065439,3,0.47,2026-09-21T11:36:44
